"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"142",327,10,4107617,"Herb Cover = 27%",146,201,191,0.57254902,0.788235294,0.749019608,2,0
"143",328,20,11995319,"Herb Cover = 28%",142,200,189,0.556862745,0.784313725,0.741176471,4,0
"144",329,7,16696258,"Herb Cover = 29%",139,198,187,0.545098039,0.776470588,0.733333333,2,0
"145",330,23,21420511,"Herb Cover = 30%",135,196,185,0.529411765,0.768627451,0.725490196,5,0
"146",331,32,26519145,"Herb Cover = 31%",132,195,183,0.517647059,0.764705882,0.717647059,7,0
"147",332,34,28320132,"Herb Cover = 32%",128,193,181,0.501960784,0.756862745,0.709803922,8,0
"148",333,30,4464835,"Herb Cover = 33%",125,191,178,0.490196078,0.749019608,0.698039216,7,0
"149",334,41,25757946,"Herb Cover = 34%",121,190,176,0.474509804,0.745098039,0.690196078,9,0
"150",335,49,50643114,"Herb Cover = 35%",118,188,174,0.462745098,0.737254902,0.682352941,11,0
"151",336,51,30326719,"Herb Cover = 36%",115,186,172,0.450980392,0.729411765,0.674509804,11,0
"152",337,76,35862323,"Herb Cover = 37%",111,184,170,0.435294118,0.721568627,0.666666667,17,0
"153",338,63,42373587,"Herb Cover = 38%",108,183,168,0.423529412,0.717647059,0.658823529,14,0
"154",339,84,9094270,"Herb Cover = 39%",104,181,166,0.407843137,0.709803922,0.650980392,19,0.1
"155",340,115,43249375,"Herb Cover = 40%",101,179,164,0.396078431,0.701960784,0.643137255,26,0.1
"156",341,125,37605691,"Herb Cover = 41%",97,178,162,0.380392157,0.698039216,0.635294118,28,0.1
"157",342,136,44578721,"Herb Cover = 42%",94,176,160,0.368627451,0.690196078,0.62745098,30,0.1
"158",343,140,46955429,"Herb Cover = 43%",91,174,158,0.356862745,0.682352941,0.619607843,31,0.1
"159",344,194,50023473,"Herb Cover = 44%",87,173,156,0.341176471,0.678431373,0.611764706,43,0.1
"160",345,289,22290833,"Herb Cover = 45%",84,171,154,0.329411765,0.670588235,0.603921569,64,0.2
"161",346,247,54216771,"Herb Cover = 46%",80,169,152,0.31372549,0.662745098,0.596078431,55,0.2
"162",347,273,53469325,"Herb Cover = 47%",77,168,150,0.301960784,0.658823529,0.588235294,61,0.2
"163",348,322,55173133,"Herb Cover = 48%",73,166,148,0.28627451,0.650980392,0.580392157,72,0.2
"164",349,353,56267676,"Herb Cover = 49%",70,164,146,0.274509804,0.643137255,0.57254902,79,0.2
"165",350,401,54396823,"Herb Cover = 50%",66,163,144,0.258823529,0.639215686,0.564705882,89,0.3
"166",351,415,18608296,"Herb Cover = 51%",63,161,142,0.247058824,0.631372549,0.556862745,92,0.3
"167",352,444,57078608,"Herb Cover = 52%",60,159,140,0.235294118,0.623529412,0.549019608,99,0.3
"168",353,450,53227170,"Herb Cover = 53%",56,158,138,0.219607843,0.619607843,0.541176471,100,0.3
"169",354,447,52182257,"Herb Cover = 54%",53,156,136,0.207843137,0.611764706,0.533333333,99,0.3
"170",355,5002,389424507,"Herb Cover = 55%",49,154,134,0.192156863,0.603921569,0.525490196,1112,3.2
"171",356,329,49731921,"Herb Cover = 56%",46,152,132,0.180392157,0.596078431,0.517647059,73,0.2
"172",357,282,19484636,"Herb Cover = 57%",42,151,130,0.164705882,0.592156863,0.509803922,63,0.2
"173",358,228,47124967,"Herb Cover = 58%",39,149,128,0.152941176,0.584313725,0.501960784,51,0.1
"174",359,159,43364996,"Herb Cover = 59%",36,147,126,0.141176471,0.576470588,0.494117647,35,0.1
"175",360,118,42643331,"Herb Cover = 60%",32,146,124,0.125490196,0.57254902,0.48627451,26,0.1
"176",361,74,39712972,"Herb Cover = 61%",29,144,122,0.11372549,0.564705882,0.478431373,16,0
"177",362,73,37216255,"Herb Cover = 62%",25,142,120,0.098039216,0.556862745,0.470588235,16,0
"178",363,39,14131015,"Herb Cover = 63%",22,141,118,0.08627451,0.552941176,0.462745098,9,0
"179",364,22,43633391,"Herb Cover = 64%",18,139,116,0.070588235,0.545098039,0.454901961,5,0
"180",365,36,41519172,"Herb Cover = 65%",15,137,114,0.058823529,0.537254902,0.447058824,8,0
"181",366,7,28705674,"Herb Cover = 66%",11,136,112,0.043137255,0.533333333,0.439215686,2,0
"182",367,1,20716645,"Herb Cover = 67%",8,134,110,0.031372549,0.525490196,0.431372549,0,0
"183",368,3,25520215,"Herb Cover = 68%",5,132,108,0.019607843,0.517647059,0.423529412,1,0
"184",369,1,13925292,"Herb Cover = 69%",1,131,106,0.003921569,0.51372549,0.415686275,0,0
"185",370,1,22737504,"Herb Cover = 70%",0,130,106,0,0.509803922,0.415686275,0,0
"186",375,8,8267407,"Herb Cover = 75%",0,126,115,0,0.494117647,0.450980392,2,0
